cl_id,us_id,confidence
74069,983857,0.99738014
73681,337723,0.99738014
73472,73753,0.99738014
73468,699305,0.99738014
73465,989176,0.99738014
73453,899678,0.99738014
73362,817844,0.99738014
73303,951853,0.99738014
73171,807702,0.99738014
7307,947614,0.99738014
72921,1811481,0.99738014
7265,1944795,0.99738014
72559,973242,0.99738014
72488,538203,0.99738014
72463,1308910,0.99738014
72370,684113,0.99738014
72359,787315,0.99738014
72262,1866223,0.99738014
71755,774124,0.99738014
71747,36936,0.99738014
71744,1277712,0.99738014
71167,543731,0.99738014
7102,1633596,0.99738014
71016,1343212,0.99738014
70887,763365,0.99738014
70766,745535,0.99738014
70574,988966,0.99738014
70495,877760,0.99738014
70259,848106,0.99738014
702,780448,0.99738014
70094,676571,0.99738014
69932,1896305,0.99738014
69888,954884,0.99738014
69865,864852,0.99738014
69861,941250,0.99738014
69743,999300,0.99738014
69273,474123,0.99738014
6904,764305,0.99738014
68974,842265,0.99738014
68938,861511,0.99738014
68655,844258,0.99738014
6858,963831,0.99738014
68540,701849,0.99738014
68525,934487,0.99738014
68465,1986386,0.99738014
68247,48426,0.99738014
68144,1801211,0.99738014
68068,949674,0.99738014
67920,60622,0.99738014
67766,429096,0.99738014
67721,847952,0.99738014
67436,507528,0.99738014
6720,1703759,0.99738014
67128,979753,0.99738014
67119,664708,0.99738014
66928,1810595,0.99738014
66902,949915,0.99738014
6688,986727,0.99738014
66812,80001,0.99738014
66579,751722,0.99738014
66540,998937,0.99738014
66519,939766,0.99738014
66417,981532,0.99738014
66127,999162,0.99738014
6603,784791,0.99738014
6597,722741,0.99738014
65914,839790,0.99738014
65886,816263,0.99738014
65637,1517907,0.99738014
65613,918776,0.99738014
65511,80575,0.99738014
65426,983736,0.99738014
65382,973839,0.99738014
65293,442548,0.99738014
65253,1054891,0.99738014
65150,34739,0.99738014
65068,54083,0.99738014
65009,848888,0.99738014
64938,785295,0.99738014
64927,37275,0.99738014
64811,54031,0.99738014
64802,984757,0.99738014
6469,912959,0.99738014
6464,561459,0.99738014
64476,446582,0.99738014
64473,946333,0.99738014
6434,959118,0.99738014
64248,999822,0.99738014
64075,1659512,0.99738014
64045,706656,0.99738014
64010,1665932,0.99738014
63651,439040,0.99738014
63637,337142,0.99738014
63633,623904,0.99738014
63617,610235,0.99738014
63528,1505190,0.99738014
62686,1965006,0.99738014
62676,322177,0.99738014
62346,1237489,0.99738014
62084,893685,0.99738014
6206,1513513,0.99738014
61973,710075,0.99738014
6195,288743,0.99738014
6194,766829,0.99738014
61938,762956,0.99738014
6179,997894,0.99738014
61662,889901,0.99738014
61427,873494,0.99738014
6118,1845173,0.99738014
60872,896930,0.99738014
60770,831390,0.99738014
6048,824812,0.99738014
60412,827331,0.99738014
60098,412756,0.99738014
60048,1195140,0.99738014
59804,941427,0.99738014
597,960015,0.99738014
59288,188205,0.99738014
5912,626119,0.99738014
58978,870047,0.99738014
58923,1852540,0.99738014
58545,186794,0.99738014
58094,48383,0.99738014
57926,829610,0.99738014
57528,836136,0.99738014
57403,727315,0.99738014
57288,799268,0.99738014
57083,1128102,0.99738014
57026,850205,0.99738014
56964,75690,0.99738014
56924,482022,0.99738014
56696,861457,0.99738014
56677,1163939,0.99738014
56674,233297,0.99738014
56632,523458,0.99738014
56484,258962,0.99738014
56454,185508,0.99738014
56438,619398,0.99738014
5631,748162,0.99738014
56295,616655,0.99738014
56193,776951,0.99738014
56065,278670,0.99738014
5601,97280,0.99738014
55996,7162,0.99738014
55990,362494,0.99738014
55970,486991,0.99738014
55896,637606,0.99738014
55866,348609,0.99738014
55844,1609484,0.99738014
55784,412741,0.99738014
55426,787338,0.99738014
55318,829063,0.99738014
55189,1862184,0.99738014
55188,1238097,0.99738014
55162,688683,0.99738014
55058,145400,0.99738014
54892,350149,0.99738014
5462,401577,0.99738014
54258,945836,0.99738014
54165,950052,0.99738014
54142,58419,0.99738014
54139,609460,0.99738014
54130,587750,0.99738014
53998,56911,0.99738014
53950,524828,0.99738014
53728,642630,0.99738014
53610,532060,0.99738014
53503,828530,0.99738014
53392,1986082,0.99738014
53302,652075,0.99738014
53245,346882,0.99738014
53165,1361040,0.99738014
53128,513221,0.99738014
53066,647388,0.99738014
53026,651709,0.99738014
